rsid	chrom	pos	symbol	gene_description	disease_names	rev_stat	sig	clinvar_id	source	text
rs3842755	chr11	2159566	INS	This gene encodes insulin, a peptide hormone that plays a vital role in the regulation of carbohydrate and lipid metabolism. After removal of the precursor signal peptide, proinsulin is post-translationally cleaved into three peptides: the B chain and A chain peptides, which are covalently linked via two disulfide bonds to form insulin, and C-peptide. Binding of insulin to the insulin receptor (INSR) stimulates glucose uptake. A multitude of mutant alleles with phenotypic effects have been identified, including insulin-dependent diabetes mellitus, permanent neonatal diabetes diabetes mellitus, maturity-onset diabetes of the young type 10 and hyperproinsulinemia. There is a read-through gene, INS-IGF2, which overlaps with this gene at the 5&apos; region and with the IGF2 gene at the 3&apos; region. [provided by RefSeq, May 2020]	not provided	criteria provided, single submitter	Benign	1275239	https://www.ncbi.nlm.nih.gov/clinvar/variation/1275239	rs3842755 is located in chr11 chromosome with position 2159566 which is in the gene INS. This gene has the following description: This gene encodes insulin, a peptide hormone that plays a vital role in the regulation of carbohydrate and lipid metabolism. After removal of the precursor signal peptide, proinsulin is post-translationally cleaved into three peptides: the B chain and A chain peptides, which are covalently linked via two disulfide bonds to form insulin, and C-peptide. Binding of insulin to the insulin receptor (INSR) stimulates glucose uptake. A multitude of mutant alleles with phenotypic effects have been identified, including insulin-dependent diabetes mellitus, permanent neonatal diabetes diabetes mellitus, maturity-onset diabetes of the young type 10 and hyperproinsulinemia. There is a read-through gene, INS-IGF2, which overlaps with this gene at the 5&apos; region and with the IGF2 gene at the 3&apos; region. [provided by RefSeq, May 2020] This SNP can be associated with not provided. Those associations have Benign clinical significance and have review status: criteria provided, single submitter. rs3842755has the following disease references: MedGen:CN517202. Source: https://www.ncbi.nlm.nih.gov/clinvar/variation/1275239
rs572169	chr3	172447937	GHSR	This gene encodes a member of the G-protein coupled receptor family. The encoded protein may play a role in energy homeostasis and regulation of body weight. Two identified transcript variants are expressed in several tissues and are evolutionary conserved in fish and swine. One transcript, 1a, excises an intron and encodes the functional protein; this protein is the receptor for the Ghrelin ligand and defines a neuroendocrine pathway for growth hormone release. The second transcript (1b) retains the intron and does not function as a receptor for Ghrelin; however, it may function to attenuate activity of isoform 1a. Mutations in this gene are associated with autosomal idiopathic short stature.[provided by RefSeq, Apr 2010]	Short stature due to growth hormone secretagogue receptor deficiency|not specified|not provided	criteria provided, multiple submitters, no conflicts	Benign	263110	https://www.ncbi.nlm.nih.gov/clinvar/variation/263110	rs572169 is located in chr3 chromosome with position 172447937 which is in the gene GHSR. This gene has the following description: This gene encodes a member of the G-protein coupled receptor family. The encoded protein may play a role in energy homeostasis and regulation of body weight. Two identified transcript variants are expressed in several tissues and are evolutionary conserved in fish and swine. One transcript, 1a, excises an intron and encodes the functional protein; this protein is the receptor for the Ghrelin ligand and defines a neuroendocrine pathway for growth hormone release. The second transcript (1b) retains the intron and does not function as a receptor for Ghrelin; however, it may function to attenuate activity of isoform 1a. Mutations in this gene are associated with autosomal idiopathic short stature.[provided by RefSeq, Apr 2010] This SNP can be associated with Short stature due to growth hormone secretagogue receptor deficiency|not specified|not provided. Those associations have Benign clinical significance and have review status: criteria provided, multiple submitters, no conflicts. rs572169has the following disease references: MONDO:MONDO:0014403,MedGen:C4707848,OMIM:615925,Orphanet:ORPHA314811,SNOMED CT:766817004|MedGen:CN169374|MedGen:CN517202. Source: https://www.ncbi.nlm.nih.gov/clinvar/variation/263110
rs13320360	chr3	37011629	MLH1	The protein encoded by this gene can heterodimerize with mismatch repair endonuclease PMS2 to form MutL alpha, part of the DNA mismatch repair system. When MutL alpha is bound by MutS beta and some accessory proteins, the PMS2 subunit of MutL alpha introduces a single-strand break near DNA mismatches, providing an entry point for exonuclease degradation. The encoded protein is also involved in DNA damage signaling and can heterodimerize with DNA mismatch repair protein MLH3 to form MutL gamma, which is involved in meiosis. This gene was identified as a locus frequently mutated in hereditary nonpolyposis colon cancer (HNPCC). [provided by RefSeq, Aug 2017]	not provided	criteria provided, single submitter	Benign	677723	https://www.ncbi.nlm.nih.gov/clinvar/variation/677723	rs13320360 is located in chr3 chromosome with position 37011629 which is in the gene MLH1. This gene has the following description: The protein encoded by this gene can heterodimerize with mismatch repair endonuclease PMS2 to form MutL alpha, part of the DNA mismatch repair system. When MutL alpha is bound by MutS beta and some accessory proteins, the PMS2 subunit of MutL alpha introduces a single-strand break near DNA mismatches, providing an entry point for exonuclease degradation. The encoded protein is also involved in DNA damage signaling and can heterodimerize with DNA mismatch repair protein MLH3 to form MutL gamma, which is involved in meiosis. This gene was identified as a locus frequently mutated in hereditary nonpolyposis colon cancer (HNPCC). [provided by RefSeq, Aug 2017] This SNP can be associated with not provided. Those associations have Benign clinical significance and have review status: criteria provided, single submitter. rs13320360has the following disease references: MedGen:CN517202. Source: https://www.ncbi.nlm.nih.gov/clinvar/variation/677723
rs2509049	chr11	119095811	H2AFX		not provided	criteria provided, single submitter	Benign	1296893	https://www.ncbi.nlm.nih.gov/clinvar/variation/1296893	
rs4420638	chr19	44919689	APOC1	This gene encodes a member of the apolipoprotein C1 family. This gene is expressed primarily in the liver, and it is activated when monocytes differentiate into macrophages. The encoded protein plays a central role in high density lipoprotein (HDL) and very low density lipoprotein (VLDL) metabolism. This protein has also been shown to inhibit cholesteryl ester transfer protein in plasma. A pseudogene of this gene is located 4 kb downstream in the same orientation, on the same chromosome. This gene is mapped to chromosome 19, where it resides within a apolipoprotein gene cluster. Alternative splicing and the use of alternative promoters results in multiple transcript variants. [provided by RefSeq, Sep 2016]	not provided	no assertion provided	not provided	162177	https://www.ncbi.nlm.nih.gov/clinvar/variation/162177	rs4420638 is located in chr19 chromosome with position 44919689 which is in the gene APOC1. This gene has the following description: This gene encodes a member of the apolipoprotein C1 family. This gene is expressed primarily in the liver, and it is activated when monocytes differentiate into macrophages. The encoded protein plays a central role in high density lipoprotein (HDL) and very low density lipoprotein (VLDL) metabolism. This protein has also been shown to inhibit cholesteryl ester transfer protein in plasma. A pseudogene of this gene is located 4 kb downstream in the same orientation, on the same chromosome. This gene is mapped to chromosome 19, where it resides within a apolipoprotein gene cluster. Alternative splicing and the use of alternative promoters results in multiple transcript variants. [provided by RefSeq, Sep 2016] This SNP can be associated with not provided. Those associations have not provided clinical significance and have review status: no assertion provided. rs4420638has the following disease references: MedGen:CN517202. Source: https://www.ncbi.nlm.nih.gov/clinvar/variation/162177
rs73598374	chr20	44651586	ADA	This gene encodes an enzyme that catalyzes the hydrolysis of adenosine to inosine in the purine catabolic pathway. Various mutations have been described for this gene and have been linked to human diseases related to impaired immune function such as severe combined immunodeficiency disease (SCID) which is the result of a deficiency in the ADA enzyme. In ADA-deficient individuals there is a marked depletion of T, B, and NK lymphocytes, and consequently, a lack of both humoral and cellular immunity. Conversely, elevated levels of this enzyme are associated with congenital hemolytic anemia. [provided by RefSeq, Sep 2019]	Adenosine deaminase 2 allozyme|Severe combined immunodeficiency, autosomal recessive, T cell-negative, B cell-negative, NK cell-negative, due to adenosine deaminase deficiency|not specified|not provided	criteria provided, multiple submitters, no conflicts	Benign	1973	https://www.ncbi.nlm.nih.gov/clinvar/variation/1973	rs73598374 is located in chr20 chromosome with position 44651586 which is in the gene ADA. This gene has the following description: This gene encodes an enzyme that catalyzes the hydrolysis of adenosine to inosine in the purine catabolic pathway. Various mutations have been described for this gene and have been linked to human diseases related to impaired immune function such as severe combined immunodeficiency disease (SCID) which is the result of a deficiency in the ADA enzyme. In ADA-deficient individuals there is a marked depletion of T, B, and NK lymphocytes, and consequently, a lack of both humoral and cellular immunity. Conversely, elevated levels of this enzyme are associated with congenital hemolytic anemia. [provided by RefSeq, Sep 2019] This SNP can be associated with Adenosine deaminase 2 allozyme|Severe combined immunodeficiency, autosomal recessive, T cell-negative, B cell-negative, NK cell-negative, due to adenosine deaminase deficiency|not specified|not provided. Those associations have Benign clinical significance and have review status: criteria provided, multiple submitters, no conflicts. rs73598374has the following disease references: .|MONDO:MONDO:0007064,MedGen:C1863236,OMIM:102700,Orphanet:ORPHA277|MedGen:CN169374|MedGen:CN517202. Source: https://www.ncbi.nlm.nih.gov/clinvar/variation/1973
rs1042522	chr17	7676154	TP53	This gene encodes a tumor suppressor protein containing transcriptional activation, DNA binding, and oligomerization domains. The encoded protein responds to diverse cellular stresses to regulate expression of target genes, thereby inducing cell cycle arrest, apoptosis, senescence, DNA repair, or changes in metabolism. Mutations in this gene are associated with a variety of human cancers, including hereditary cancers such as Li-Fraumeni syndrome. Alternative splicing of this gene and the use of alternate promoters result in multiple transcript variants and isoforms. Additional isoforms have also been shown to result from the use of alternate translation initiation codons from identical transcript variants (PMIDs: 12032546, 20937277). [provided by RefSeq, Dec 2016]	Li-Fraumeni syndrome	criteria provided, single submitter	Uncertain significance	864652	https://www.ncbi.nlm.nih.gov/clinvar/variation/864652	rs1042522 is located in chr17 chromosome with position 7676154 which is in the gene TP53. This gene has the following description: This gene encodes a tumor suppressor protein containing transcriptional activation, DNA binding, and oligomerization domains. The encoded protein responds to diverse cellular stresses to regulate expression of target genes, thereby inducing cell cycle arrest, apoptosis, senescence, DNA repair, or changes in metabolism. Mutations in this gene are associated with a variety of human cancers, including hereditary cancers such as Li-Fraumeni syndrome. Alternative splicing of this gene and the use of alternate promoters result in multiple transcript variants and isoforms. Additional isoforms have also been shown to result from the use of alternate translation initiation codons from identical transcript variants (PMIDs: 12032546, 20937277). [provided by RefSeq, Dec 2016] This SNP can be associated with Li-Fraumeni syndrome. Those associations have Uncertain significance clinical significance and have review status: criteria provided, single submitter. rs1042522has the following disease references: MONDO:MONDO:0018875,MedGen:C0085390,OMIM:PS151623,Orphanet:ORPHA524,SNOMED CT:428850001. Source: https://www.ncbi.nlm.nih.gov/clinvar/variation/864652
rs1042522	chr17	7676154	TP53	This gene encodes a tumor suppressor protein containing transcriptional activation, DNA binding, and oligomerization domains. The encoded protein responds to diverse cellular stresses to regulate expression of target genes, thereby inducing cell cycle arrest, apoptosis, senescence, DNA repair, or changes in metabolism. Mutations in this gene are associated with a variety of human cancers, including hereditary cancers such as Li-Fraumeni syndrome. Alternative splicing of this gene and the use of alternate promoters result in multiple transcript variants and isoforms. Additional isoforms have also been shown to result from the use of alternate translation initiation codons from identical transcript variants (PMIDs: 12032546, 20937277). [provided by RefSeq, Dec 2016]	CODON 72 POLYMORPHISM|Li-Fraumeni syndrome 1|Hereditary breast ovarian cancer syndrome|Hereditary cancer-predisposing syndrome|Li-Fraumeni syndrome|Lip and oral cavity carcinoma|not specified|not provided	criteria provided, multiple submitters, no conflicts	Benign	12351	https://www.ncbi.nlm.nih.gov/clinvar/variation/12351	rs1042522 is located in chr17 chromosome with position 7676154 which is in the gene TP53. This gene has the following description: This gene encodes a tumor suppressor protein containing transcriptional activation, DNA binding, and oligomerization domains. The encoded protein responds to diverse cellular stresses to regulate expression of target genes, thereby inducing cell cycle arrest, apoptosis, senescence, DNA repair, or changes in metabolism. Mutations in this gene are associated with a variety of human cancers, including hereditary cancers such as Li-Fraumeni syndrome. Alternative splicing of this gene and the use of alternate promoters result in multiple transcript variants and isoforms. Additional isoforms have also been shown to result from the use of alternate translation initiation codons from identical transcript variants (PMIDs: 12032546, 20937277). [provided by RefSeq, Dec 2016] This SNP can be associated with CODON 72 POLYMORPHISM|Li-Fraumeni syndrome 1|Hereditary breast ovarian cancer syndrome|Hereditary cancer-predisposing syndrome|Li-Fraumeni syndrome|Lip and oral cavity carcinoma|not specified|not provided. Those associations have Benign clinical significance and have review status: criteria provided, multiple submitters, no conflicts. rs1042522has the following disease references: .|Gene:553989,MONDO:MONDO:0007903,MedGen:C1835398,OMIM:151623|MONDO:MONDO:0003582,MeSH:D061325,MedGen:C0677776,OMIM:PS604370,Orphanet:ORPHA145|MONDO:MONDO:0015356,MeSH:D009386,MedGen:C0027672,Orphanet:ORPHA140162,SNOMED CT:699346009|MONDO:MONDO:0018875,MedGen:C0085390,OMIM:PS151623,Orphanet:ORPHA524,SNOMED CT:428850001|MONDO:MONDO:0023644,MedGen:C0220641|MedGen:CN169374|MedGen:CN517202. Source: https://www.ncbi.nlm.nih.gov/clinvar/variation/12351
rs1042522	chr17	7676154	TP53	This gene encodes a tumor suppressor protein containing transcriptional activation, DNA binding, and oligomerization domains. The encoded protein responds to diverse cellular stresses to regulate expression of target genes, thereby inducing cell cycle arrest, apoptosis, senescence, DNA repair, or changes in metabolism. Mutations in this gene are associated with a variety of human cancers, including hereditary cancers such as Li-Fraumeni syndrome. Alternative splicing of this gene and the use of alternate promoters result in multiple transcript variants and isoforms. Additional isoforms have also been shown to result from the use of alternate translation initiation codons from identical transcript variants (PMIDs: 12032546, 20937277). [provided by RefSeq, Dec 2016]	Li-Fraumeni syndrome 1|Hereditary cancer-predisposing syndrome|Li-Fraumeni syndrome	reviewed by expert panel	Likely benign	185120	https://www.ncbi.nlm.nih.gov/clinvar/variation/185120	rs1042522 is located in chr17 chromosome with position 7676154 which is in the gene TP53. This gene has the following description: This gene encodes a tumor suppressor protein containing transcriptional activation, DNA binding, and oligomerization domains. The encoded protein responds to diverse cellular stresses to regulate expression of target genes, thereby inducing cell cycle arrest, apoptosis, senescence, DNA repair, or changes in metabolism. Mutations in this gene are associated with a variety of human cancers, including hereditary cancers such as Li-Fraumeni syndrome. Alternative splicing of this gene and the use of alternate promoters result in multiple transcript variants and isoforms. Additional isoforms have also been shown to result from the use of alternate translation initiation codons from identical transcript variants (PMIDs: 12032546, 20937277). [provided by RefSeq, Dec 2016] This SNP can be associated with Li-Fraumeni syndrome 1|Hereditary cancer-predisposing syndrome|Li-Fraumeni syndrome. Those associations have Likely benign clinical significance and have review status: reviewed by expert panel. rs1042522has the following disease references: Gene:553989,MONDO:MONDO:0007903,MedGen:C1835398,OMIM:151623|MONDO:MONDO:0015356,MeSH:D009386,MedGen:C0027672,Orphanet:ORPHA140162,SNOMED CT:699346009|MONDO:MONDO:0018875,MedGen:C0085390,OMIM:PS151623,Orphanet:ORPHA524,SNOMED CT:428850001. Source: https://www.ncbi.nlm.nih.gov/clinvar/variation/185120
rs189037	chr11	108223106	ATM	The protein encoded by this gene belongs to the PI3/PI4-kinase family. This protein is an important cell cycle checkpoint kinase that phosphorylates; thus, it functions as a regulator of a wide variety of downstream proteins, including tumor suppressor proteins p53 and BRCA1, checkpoint kinase CHK2, checkpoint proteins RAD17 and RAD9, and DNA repair protein NBS1. This protein and the closely related kinase ATR are thought to be master controllers of cell cycle checkpoint signaling pathways that are required for cell response to DNA damage and for genome stability. Mutations in this gene are associated with ataxia telangiectasia, an autosomal recessive disorder. [provided by RefSeq, Aug 2010]	Ataxia-telangiectasia syndrome|not provided	criteria provided, multiple submitters, no conflicts	Benign	302240	https://www.ncbi.nlm.nih.gov/clinvar/variation/302240	rs189037 is located in chr11 chromosome with position 108223106 which is in the gene ATM. This gene has the following description: The protein encoded by this gene belongs to the PI3/PI4-kinase family. This protein is an important cell cycle checkpoint kinase that phosphorylates; thus, it functions as a regulator of a wide variety of downstream proteins, including tumor suppressor proteins p53 and BRCA1, checkpoint kinase CHK2, checkpoint proteins RAD17 and RAD9, and DNA repair protein NBS1. This protein and the closely related kinase ATR are thought to be master controllers of cell cycle checkpoint signaling pathways that are required for cell response to DNA damage and for genome stability. Mutations in this gene are associated with ataxia telangiectasia, an autosomal recessive disorder. [provided by RefSeq, Aug 2010] This SNP can be associated with Ataxia-telangiectasia syndrome|not provided. Those associations have Benign clinical significance and have review status: criteria provided, multiple submitters, no conflicts. rs189037has the following disease references: MONDO:MONDO:0008840,MedGen:C0004135,OMIM:208900,Orphanet:ORPHA100,SNOMED CT:68504005|MedGen:CN517202. Source: https://www.ncbi.nlm.nih.gov/clinvar/variation/302240
rs2229765	chr15	98934996	IGF1R	This receptor binds insulin-like growth factor with a high affinity. It has tyrosine kinase activity. The insulin-like growth factor I receptor plays a critical role in transformation events. Cleavage of the precursor generates alpha and beta subunits. It is highly overexpressed in most malignant tissues where it functions as an anti-apoptotic agent by enhancing cell survival. Alternatively spliced transcript variants encoding distinct isoforms have been found for this gene. [provided by RefSeq, May 2014]	Growth delay due to insulin-like growth factor I resistance|not specified|not provided	criteria provided, multiple submitters, no conflicts	Benign	194610	https://www.ncbi.nlm.nih.gov/clinvar/variation/194610	rs2229765 is located in chr15 chromosome with position 98934996 which is in the gene IGF1R. This gene has the following description: This receptor binds insulin-like growth factor with a high affinity. It has tyrosine kinase activity. The insulin-like growth factor I receptor plays a critical role in transformation events. Cleavage of the precursor generates alpha and beta subunits. It is highly overexpressed in most malignant tissues where it functions as an anti-apoptotic agent by enhancing cell survival. Alternatively spliced transcript variants encoding distinct isoforms have been found for this gene. [provided by RefSeq, May 2014] This SNP can be associated with Growth delay due to insulin-like growth factor I resistance|not specified|not provided. Those associations have Benign clinical significance and have review status: criteria provided, multiple submitters, no conflicts. rs2229765has the following disease references: MONDO:MONDO:0010038,MedGen:C1849157,OMIM:270450,Orphanet:ORPHA73273|MedGen:CN169374|MedGen:CN517202. Source: https://www.ncbi.nlm.nih.gov/clinvar/variation/194610
rs429358	chr19	44908684	APOE	The protein encoded by this gene is a major apoprotein of the chylomicron. It binds to a specific liver and peripheral cell receptor, and is essential for the normal catabolism of triglyceride-rich lipoprotein constituents. This gene maps to chromosome 19 in a cluster with the related apolipoprotein C1 and C2 genes. Mutations in this gene result in familial dysbetalipoproteinemia, or type III hyperlipoproteinemia (HLP III), in which increased plasma cholesterol and triglycerides are the consequence of impaired clearance of chylomicron and VLDL remnants. [provided by RefSeq, Jun 2016]	Alzheimer disease|Alzheimer disease 2|Warfarin response|Alzheimer disease 4|Lipoprotein glomerulopathy|Primary degenerative dementia of the Alzheimer type, presenile onset|not provided	criteria provided, conflicting interpretations	Conflicting interpretations of pathogenicity| other| risk factor	17864	https://www.ncbi.nlm.nih.gov/clinvar/variation/17864	rs429358 is located in chr19 chromosome with position 44908684 which is in the gene APOE. This gene has the following description: The protein encoded by this gene is a major apoprotein of the chylomicron. It binds to a specific liver and peripheral cell receptor, and is essential for the normal catabolism of triglyceride-rich lipoprotein constituents. This gene maps to chromosome 19 in a cluster with the related apolipoprotein C1 and C2 genes. Mutations in this gene result in familial dysbetalipoproteinemia, or type III hyperlipoproteinemia (HLP III), in which increased plasma cholesterol and triglycerides are the consequence of impaired clearance of chylomicron and VLDL remnants. [provided by RefSeq, Jun 2016] This SNP can be associated with Alzheimer disease|Alzheimer disease 2|Warfarin response|Alzheimer disease 4|Lipoprotein glomerulopathy|Primary degenerative dementia of the Alzheimer type, presenile onset|not provided. Those associations have Conflicting interpretations of pathogenicity| other| risk factor clinical significance and have review status: criteria provided, conflicting interpretations. rs429358has the following disease references: Human Phenotype Ontology:HP:0002511,Human Phenotype Ontology:HP:0006878,Human Phenotype Ontology:HP:0007213,MONDO:MONDO:0004975,MedGen:C0002395,SNOMED CT:26929004|MONDO:MONDO:0007089,MedGen:C1863051,OMIM:104310|MONDO:MONDO:0007390,MedGen:C0750384,OMIM:122700|MONDO:MONDO:0011743,MedGen:C1847200,OMIM:606889|MONDO:MONDO:0012725,MedGen:C2673196,OMIM:611771,Orphanet:ORPHA329481,SNOMED CT:446923008|MeSH:D000544,MedGen:C0750901|MedGen:CN517202. Source: https://www.ncbi.nlm.nih.gov/clinvar/variation/17864
rs660339	chr11	73978059	UCP2	Mitochondrial uncoupling proteins (UCP) are members of the larger family of mitochondrial anion carrier proteins (MACP). UCPs separate oxidative phosphorylation from ATP synthesis with energy dissipated as heat, also referred to as the mitochondrial proton leak. UCPs facilitate the transfer of anions from the inner to the outer mitochondrial membrane and the return transfer of protons from the outer to the inner mitochondrial membrane. They also reduce the mitochondrial membrane potential in mammalian cells. Tissue specificity occurs for the different UCPs and the exact methods of how UCPs transfer H+/OH- are not known. UCPs contain the three homologous protein domains of MACPs. This gene is expressed in many tissues, with the greatest expression in skeletal muscle. It is thought to play a role in nonshivering thermogenesis, obesity and diabetes. Chromosomal order is 5&apos;-UCP3-UCP2-3&apos;. [provided by RefSeq, Jul 2008]	not specified|not provided	criteria provided, multiple submitters, no conflicts	Benign	130697	https://www.ncbi.nlm.nih.gov/clinvar/variation/130697	rs660339 is located in chr11 chromosome with position 73978059 which is in the gene UCP2. This gene has the following description: Mitochondrial uncoupling proteins (UCP) are members of the larger family of mitochondrial anion carrier proteins (MACP). UCPs separate oxidative phosphorylation from ATP synthesis with energy dissipated as heat, also referred to as the mitochondrial proton leak. UCPs facilitate the transfer of anions from the inner to the outer mitochondrial membrane and the return transfer of protons from the outer to the inner mitochondrial membrane. They also reduce the mitochondrial membrane potential in mammalian cells. Tissue specificity occurs for the different UCPs and the exact methods of how UCPs transfer H+/OH- are not known. UCPs contain the three homologous protein domains of MACPs. This gene is expressed in many tissues, with the greatest expression in skeletal muscle. It is thought to play a role in nonshivering thermogenesis, obesity and diabetes. Chromosomal order is 5&apos;-UCP3-UCP2-3&apos;. [provided by RefSeq, Jul 2008] This SNP can be associated with not specified|not provided. Those associations have Benign clinical significance and have review status: criteria provided, multiple submitters, no conflicts. rs660339has the following disease references: MedGen:CN169374|MedGen:CN517202. Source: https://www.ncbi.nlm.nih.gov/clinvar/variation/130697
rs1805086	chr2	190060351	MSTN	This gene encodes a secreted ligand of the TGF-beta (transforming growth factor-beta) superfamily of proteins. Ligands of this family bind various TGF-beta receptors leading to recruitment and activation of SMAD family transcription factors that regulate gene expression. The encoded preproprotein is proteolytically processed to generate each subunit of the disulfide-linked homodimer. This protein negatively regulates skeletal muscle cell proliferation and differentiation. Mutations in this gene are associated with increased skeletal muscle mass in humans and other mammals. [provided by RefSeq, Jul 2016]	Myostatin-related muscle hypertrophy|not provided	criteria provided, multiple submitters, no conflicts	Benign	65688	https://www.ncbi.nlm.nih.gov/clinvar/variation/65688	rs1805086 is located in chr2 chromosome with position 190060351 which is in the gene MSTN. This gene has the following description: This gene encodes a secreted ligand of the TGF-beta (transforming growth factor-beta) superfamily of proteins. Ligands of this family bind various TGF-beta receptors leading to recruitment and activation of SMAD family transcription factors that regulate gene expression. The encoded preproprotein is proteolytically processed to generate each subunit of the disulfide-linked homodimer. This protein negatively regulates skeletal muscle cell proliferation and differentiation. Mutations in this gene are associated with increased skeletal muscle mass in humans and other mammals. [provided by RefSeq, Jul 2016] This SNP can be associated with Myostatin-related muscle hypertrophy|not provided. Those associations have Benign clinical significance and have review status: criteria provided, multiple submitters, no conflicts. rs1805086has the following disease references: MONDO:MONDO:0013598,MedGen:C2931112,OMIM:614160,Orphanet:ORPHA275534|MedGen:CN517202. Source: https://www.ncbi.nlm.nih.gov/clinvar/variation/65688
rs282070	chr6	90586701	MAP3K7	The protein encoded by this gene is a member of the serine/threonine protein kinase family. This kinase mediates the signaling transduction induced by TGF beta and morphogenetic protein (BMP), and controls a variety of cell functions including transcription regulation and apoptosis. In response to IL-1, this protein forms a kinase complex including TRAF6, MAP3K7P1/TAB1 and MAP3K7P2/TAB2; this complex is required for the activation of nuclear factor kappa B. This kinase can also activate MAPK8/JNK, MAP2K4/MKK4, and thus plays a role in the cell response to environmental stresses. Four alternatively spliced transcript variants encoding distinct isoforms have been reported. [provided by RefSeq, Jul 2008]	not provided	criteria provided, single submitter	Benign	1241619	https://www.ncbi.nlm.nih.gov/clinvar/variation/1241619	rs282070 is located in chr6 chromosome with position 90586701 which is in the gene MAP3K7. This gene has the following description: The protein encoded by this gene is a member of the serine/threonine protein kinase family. This kinase mediates the signaling transduction induced by TGF beta and morphogenetic protein (BMP), and controls a variety of cell functions including transcription regulation and apoptosis. In response to IL-1, this protein forms a kinase complex including TRAF6, MAP3K7P1/TAB1 and MAP3K7P2/TAB2; this complex is required for the activation of nuclear factor kappa B. This kinase can also activate MAPK8/JNK, MAP2K4/MKK4, and thus plays a role in the cell response to environmental stresses. Four alternatively spliced transcript variants encoding distinct isoforms have been reported. [provided by RefSeq, Jul 2008] This SNP can be associated with not provided. Those associations have Benign clinical significance and have review status: criteria provided, single submitter. rs282070has the following disease references: MedGen:CN517202. Source: https://www.ncbi.nlm.nih.gov/clinvar/variation/1241619
rs4880	chr6	159692840	SOD2	This gene is a member of the iron/manganese superoxide dismutase family. It encodes a mitochondrial protein that forms a homotetramer and binds one manganese ion per subunit. This protein binds to the superoxide byproducts of oxidative phosphorylation and converts them to hydrogen peroxide and diatomic oxygen. Mutations in this gene have been associated with idiopathic cardiomyopathy (IDC), premature aging, sporadic motor neuron disease, and cancer. Alternative splicing of this gene results in multiple transcript variants. A related pseudogene has been identified on chromosome 1. [provided by RefSeq, Apr 2016]	SUPEROXIDE DISMUTASE 2 POLYMORPHISM|Microvascular complications of diabetes, susceptibility to, 6	no assertion criteria provided	Benign| risk factor	14751	https://www.ncbi.nlm.nih.gov/clinvar/variation/14751	rs4880 is located in chr6 chromosome with position 159692840 which is in the gene SOD2. This gene has the following description: This gene is a member of the iron/manganese superoxide dismutase family. It encodes a mitochondrial protein that forms a homotetramer and binds one manganese ion per subunit. This protein binds to the superoxide byproducts of oxidative phosphorylation and converts them to hydrogen peroxide and diatomic oxygen. Mutations in this gene have been associated with idiopathic cardiomyopathy (IDC), premature aging, sporadic motor neuron disease, and cancer. Alternative splicing of this gene results in multiple transcript variants. A related pseudogene has been identified on chromosome 1. [provided by RefSeq, Apr 2016] This SNP can be associated with SUPEROXIDE DISMUTASE 2 POLYMORPHISM|Microvascular complications of diabetes, susceptibility to, 6. Those associations have Benign| risk factor clinical significance and have review status: no assertion criteria provided. rs4880has the following disease references: .|MONDO:MONDO:0012970,MedGen:C2675128,OMIM:612634. Source: https://www.ncbi.nlm.nih.gov/clinvar/variation/14751
